


text_comments,text_only,comments_only,label,count
"RT Thoughts and prayers going out to all the families today...stay strong. prayforboston
[SEP]HI I love you 
[SEP]i love u anne
[SEP]i love you.
[SEP]So sad RT Thoughts and prayers going out to all the families today...stay strong. prayforboston
[SEP]you are a very caring person
[SEP]God Bless those hurt in Boston!
[SEP]","RT Thoughts and prayers going out to all the families today...stay strong. prayforboston
[SEP]","HI I love you 
[SEP]i love u anne
[SEP]i love you.
[SEP]So sad RT Thoughts and prayers going out to all the families today...stay strong. prayforboston
[SEP]you are a very caring person
[SEP]God Bless those hurt in Boston!
[SEP]",nonrumour,6



text_comments,text_only,comments_only,label,count
"RT Officials found what they believe are five additional, undetonated explosive devices in Boston area.  ...
[SEP]RT Officials found what they believe are 5 add'l, undetonated explosive devices in Boston area. 
[SEP]MT Officials found what they believe are five additional, undetonated explosive devices in Boston. 
[SEP]Officials found what they believe are 5 additional undetonated explosive devices in Boston area
[SEP]5!?! Officials found what they believe are five additional, undetonated explosive devices in Boston
[SEP]thats amateur hour.
[SEP]this must be very disturbing - wondering what others may be out there.
[SEP]Officials found what they believe are 5 additional, undetonated explosive devices in Boston area. 
[SEP]This leaves me reeling.
[SEP]RT Officials found what they believe are 5 additional undetonated explosive devices in Boston area
[SEP]If 5 might thr be Officials found what they believe r 5 additional, undetonated explosive devices in Boston area.""
[SEP]Officials found what believe are five additional undetonated explosive devices in Boston area 
[SEP]","RT Officials found what they believe are five additional, undetonated explosive devices in Boston area.  ...
[SEP]","RT Officials found what they believe are 5 add'l, undetonated explosive devices in Boston area. 
[SEP]MT Officials found what they believe are five additional, undetonated explosive devices in Boston. 
[SEP]Officials found what they believe are 5 additional undetonated explosive devices in Boston area
[SEP]5!?! Officials found what they believe are five additional, undetonated explosive devices in Boston
[SEP]thats amateur hour.
[SEP]this must be very disturbing - wondering what others may be out there.
[SEP]Officials found what they believe are 5 additional, undetonated explosive devices in Boston area. 
[SEP]This leaves me reeling.
[SEP]RT Officials found what they believe are 5 additional undetonated explosive devices in Boston area
[SEP]If 5 might thr be Officials found what they believe r 5 additional, undetonated explosive devices in Boston area.""
[SEP]Officials found what believe are five additional undetonated explosive devices in Boston area 
[SEP]",rumour,11



"Marion Ain't To Far From ya house Girl
[SEP]","Marion Ain't To Far From ya house Girl
[SEP]",,rumour,0
